Links,Product Name,Total Product Sold,Product Price,Product Rating,Product Rater Quantity,Seller Name,Seller Response Rate,Seller Overall Rater Quantity,Seller Joined Duration,Seller Number of Follower
https://shopee.com.my/Fipper-Slipper-Basic-M-Rubber-for-Men-in-Black-i.27414006.2504519026,Fipper Slipper Basic M Rubber for Men in Black,8400,16.07,4.9,4700,fipperhq,88,116300,1440,192700
https://shopee.com.my/DC-Home-Men-Comfort-Sandals-DH-HO-3000-i.134516310.11421449020,DC Home Men Comfort Sandals DH-HO-3000,7800,39.0,4.9,4000,drcardin.os,81,13100,1800,30000
https://shopee.com.my/Fipper-Slipper-Slip-On-Series-For-Men-Women-i.27414006.3383994192,Fipper Slipper Slip On Series For Men & Women,5600,43.9,4.9,3500,fipperhq,92,253000,1800,148700
https://shopee.com.my/asadi-Unisex-Sandal-MJA1266--i.81901343.1450249384,asadi Unisex Sandal [MJA1266],5300,14.0,4.9,2500,asadi_malaysia,88,116300,1440,192700
https://shopee.com.my/Adda-52201-Sandal-Lelaki-Men-Sandals-Flip-Flops-i.8641646.4020121104,Adda 52201 Sandal Lelaki Men Sandals Flip Flops,5000,14.6,4.9,2700,monobomalaysia,92,253000,1800,148700
https://shopee.com.my/Fipper-Slipper-Wide-Natural-Rubber-for-Unisex-i.27414006.9451274950,Fipper Slipper Wide Natural Rubber for Unisex,4700,29.9,4.9,2100,fipperhq,78,151400,990,396900
https://shopee.com.my/-Tun-M-Signature-Sandals-BATA-Men-Brown-Sandals-8625381-i.45681546.3126318774,[Tun M Signature Sandals] BATA Men Brown Sandals - 8625381,3900,14.99,4.9,1600,bata.os,92,48400,1080,117400
https://shopee.com.my/Fipper-Slipper-Basic-M-Natural-Rubber-Dark-Color-i.27414006.9318986393,Fipper Slipper Basic M Natural Rubber Dark Color,3900,14.3,4.9,1900,fipperhq,86,48500,1440,363100
https://shopee.com.my/Dr-Cardin-Unisex-Classic-Lace-Up-Sneaker-A3E-60981-i.134516310.4372424612,Dr Cardin Unisex Classic Lace-Up Sneaker A3E-60981,3800,77.0,4.9,2500,drcardin.os,79,2500,1080,2900
https://shopee.com.my/Maltini-MERLIN-Sandal-Lelaki-Perempuan-Unisex-Sandals-i.8641646.3428182159,Maltini MERLIN Sandal Lelaki Perempuan Unisex Sandals,3800,15.58,4.9,1900,monobomalaysia,88,116300,1440,192700
https://shopee.com.my/Fipper-Slipper-Comfy-Rubber-for-Men-in-Red-i.27414006.3208001666,Fipper Slipper Comfy Rubber for Men in Red,3700,13.4,4.9,2200,fipperhq,85,104700,1440,286700
https://shopee.com.my/Neckermann-Men's-Radvin-Slide-Sandals-NFL3919-11-Navy-NFL3919-04-Brown-NFL3919-02-Black-i.166368070.2812337580,Neckermann Men's Radvin Slide Sandals - NFL3919-11-Navy/NFL3919-04-Brown/NFL3919-02-Black,3600,28.4,4.9,2400,neckermann.os,78,151400,990,396900
https://shopee.com.my/Fipper-Slipper-Slip-On-Series-For-Men-Women-(New-Collection)-i.27414006.11931726270,Fipper Slipper Slip On Series For Men & Women (New Collection),3500,43.9,4.9,2000,fipperhq,88,116300,1440,192700
https://shopee.com.my/Dr-Cardin-Synthetic-Leather-Cushioned-Men-Sandals-D-GHP-7802-i.134516310.7072375264,Dr Cardin Synthetic Leather Cushioned Men Sandals D-GHP-7802,3400,45.0,4.9,2200,drcardin.os,92,48400,1080,117400
https://shopee.com.my/Fipper-Slipper-Lite-Series-Rubber-for-Men-Women-i.27414006.8719706649,Fipper Slipper Lite Series Rubber for Men & Women,3300,15.9,4.9,1600,fipperhq,81,13100,1800,30000
https://shopee.com.my/Dr-Cardin-Synthetic-Leather-Durable-Phylon-Outsole-Casual-Men-Sandals-7500-i.134516310.5926006105,Dr Cardin Synthetic Leather Durable Phylon Outsole Casual Men Sandals 7500,3300,48.0,4.9,2100,drcardin.os,86,48500,1440,363100
https://shopee.com.my/ABARO-Water-Resistant-Ultra-Light-Sneaker-W2821-Breathable-Mesh-Sport-shoes-School-Shoes-Kasut-Sekolah-Hitam-运动鞋-防水鞋-校鞋-i.14682573.9103632792,ABARO Water Resistant/Ultra Light Sneaker-W2821 Breathable Mesh Sport shoes/School Shoes/Kasut Sekolah Hitam/运动鞋/防水鞋/校鞋,2800,36.96,4.9,1700,abaroshoes.os,92,48400,1080,117400
https://shopee.com.my/Dr-Cardin-Faux-Leather-Cum-Fabric-Durable-Phylon-Outsole-Men-Sport-Sandal-D-HBC-7530-i.134516310.3249135506,Dr Cardin Faux Leather Cum Fabric Durable Phylon Outsole Men Sport Sandal D-HBC-7530,2700,77.0,4.9,1800,drcardin.os,88,116300,1440,192700
https://shopee.com.my/Dr-Cardin-Men-Synthetic-Leather-Durable-Phylon-Outsole-Casual-Sandals-D-BIZ-7710-i.134516310.3749067999,Dr Cardin Men Synthetic Leather Durable Phylon Outsole Casual Sandals D-BIZ 7710,2500,37.0,4.9,1700,drcardin.os,60,1200,1440,5100
https://shopee.com.my/Dr-Cardin-Synthetic-Leather-Durable-Phylon-Outsole-Casual-Men-Sandals-7501-i.134516310.3826104821,Dr Cardin Synthetic Leather Durable Phylon Outsole Casual Men Sandals 7501,2500,48.0,4.9,1600,drcardin.os,89,256400,1800,269900
https://shopee.com.my/-Wallet-Friendly-POWER-by-BATA-Men-Black-Sandals-8426730-i.45681546.8225994100,[Wallet Friendly] POWER by BATA Men Black Sandals - 8426730,2500,39.99,4.9,1500,bata.os,88,116300,1440,192700
https://shopee.com.my/XES-Men-BSMM60697-Slip-on-Comfort-Sandals-(Black-Brown-Navy)-i.18159534.6362252460,"XES Men BSMM60697 Slip-on Comfort Sandals (Black, Brown, Navy)",2200,24.0,4.9,1300,xesshoes,88,116300,1440,192700
https://shopee.com.my/asadi-Unisex-Sandal-MJA138742--i.81901343.1450249397,asadi Unisex Sandal [MJA138742],2100,18.0,4.9,1100,asadi_malaysia,88,116300,1440,192700
https://shopee.com.my/Dr-Cardin-Men-Synthetic-Leather-Durable-Phylon-Outsole-Casual-Sandals-D-BIZ-7711-i.134516310.6660678071,Dr Cardin Men Synthetic Leather Durable Phylon Outsole Casual Sandals D-BIZ 7711,2000,37.0,4.9,1200,drcardin.os,82,7400,1800,20500
https://shopee.com.my/Dr-Cardin-Men-Summer-4-Woven-Tape-Strapped-Sandals-D-EOP-7305-i.134516310.3826104833,Dr Cardin Men Summer 4 Woven Tape Strapped Sandals D-EOP-7305,2000,60.0,4.9,1400,drcardin.os,88,116300,1440,192700
https://shopee.com.my/Adda-53301-Sandal-Crocs-Lelaki-Men-Clog-Sandals-i.8641646.6220124974,Adda 53301 Sandal Crocs Lelaki Men Clog Sandals,1900,21.46,4.9,1100,monobomalaysia,91,2400,210,2100
https://shopee.com.my/asadi-Unisex-Sandal-MJA1468--i.81901343.1450249431,asadi Unisex Sandal [MJA1468],1900,22.0,4.9,1100,asadi_malaysia,88,116300,1440,192700
https://shopee.com.my/Black-Hammer-Black-Safety-Clogs-(NO-STEEL-TOE)-BHC-S077-i.5527834.724468583,Black Hammer Black Safety Clogs  (NO STEEL TOE)  BHC-S077,1900,87.96,4.9,980,blackhammer,78,151400,990,396900
https://shopee.com.my/GUYISA-safety-shoes-low-cut-kasut-keselamatan-Ultra-light-and-breathable-steel-toe-anti-smashing-and-anti-stab-Work-shoes-black-ready-stock-i.440859167.7488800788,GUYISA safety shoes low-cut  kasut keselamatan Ultra light and breathable steel toe anti-smashing and anti-stab Work shoes black ready stock,1900,41.27,5.0,1300,guyisa.os,91,2400,210,2100
